,Id,title,group,categories,totalreviews,avgrating
62,63,Historia De Cancer De Una Dietista : Informacion & Inspiracion para la Recuperacion & Curacion Sobreviviente de tres canceres,Book,7,4,5.0
63,64,A Charlie Brown Christmas,Book,3,6,3.0
64,65,Economics for Business,Book,2,0,0.0
65,66,Blood and Guts: A Short History of Medicine,Book,4,4,4.0
66,67,Picture Me With My Friend Jesus: Girl Version (Picture Me),Book,4,1,5.0
67,68,Experiencing and the Creation of Meaning: A Philosophical and Psychological Approach to the Subjective (Studies in Phenomenology and Existential Philosophy),Book,4,1,5.0
68,69,Negotiated Empires: Centers and Peripheries in the New World  1500-1820,Book,2,0,0.0
69,70,Geographies of Young People: The Morally Contested Spaces of Identity (Critical Geographies),Book,3,0,0.0
70,71,Jonny Quest - Bandit in Adventures Best Friend,Video,5,2,5.0
71,72,Power of Flowers: An Archetypal Journey Through Nature,Book,3,3,5.0
72,73,The Perfect Plan (7th Heaven),Book,5,2,4.0
73,74,Service Delivery (It Infrastructure Library Series),Book,8,2,4.0
74,75,Disney A to Z : The Updated Official Encyclopedia (Disney a to Z),Book,7,9,4.5
75,76,The Writer's Legal Guide (2nd ed),Book,7,2,3.5
76,77,Water Touching Stone,Book,2,11,4.5
77,78,The Ebony Cookbook: A Date With a Dish,Book,2,3,4.5
78,79,Today's Military Wife: Meeting the Challenges of Service Life (Today's Military Wife),Book,2,12,4.5
79,80,In Quest of God: The Saga of an Extraordinary Pilgrimage,Book,4,1,5.0
80,81,The Doors,Video,20,167,4.0
81,82,Puddnhead Wilson : And  Those Extraordinary Twins (The Penguin English Library),Book,5,4,5.0
82,83,A Candle for Bobby,Book,1,0,0.0
83,84,The Best of Schoolhouse Rock! - 30th Anniversary Edition,Video,12,14,4.5
84,85,Amamantar Sencillo y Puro,Book,3,0,0.0
85,86,Junie B. Jones Collection: Books 9-12,Book,3,4,5.0
86,87,Colloquial Polish: The Complete Course for Beginners (Colloquial Series (Book Only)),Book,4,2,3.5
87,88,Normal and Abnormal Development: The Influence of Primitive Reflexes on Motor Development,Book,0,0,0.0
88,89,Desde Que Samba E Samba,Music,8,0,0.0
89,90,The Eagle Has Landed,Book,1,46,4.5
90,91,Foghorn Outdoors: New England Hiking 3 Ed: The Complete Guide to More than 380 Hikes,Book,2,2,3.5
91,92,Black No More : A Novel (Modern Library (Paperback)),Book,4,7,4.5
92,93,BizPricer¿ Business Valuation Manual w/Software,Book,4,0,0.0
93,94,The American Heritage Dictionary of Idioms,Book,4,15,4.0
94,95,The Heavy Flak Guns  1933-1945: 88Mm  105Mm  128Mm  150Mm  and Ballistic Directional Equipment,Book,1,0,0.0
95,96,Becoming a Contagious Christian,Book,3,21,4.0
96,97,Year of the Tiger,Book,2,5,4.0
97,98,Brahms: Violin Concerto; Double Concerto,Music,8,7,4.5
98,99,An Employee's Guide to Stock Options,Book,9,0,0.0
99,100,Guide to Effective Staff Development in Health Care Organizations : A Systems Approach to Successful Training (J-B AHA Press),Book,2,0,0.0
100,101,Separation Of Power,Book,5,76,4.0
101,102,Mensa Visual Brainteasers,Book,3,3,4.5
102,103,Selected Essays,Book,3,2,4.5
103,104,Owning Culture: Authorship  Ownership  and Intellectual Property Law (Popular Culture and Everyday Life  Vol. 1),Book,3,0,0.0
104,105,Learning in Overdrive: Designing Curriculum  Instruction  and Assessment from Standards : A Manual for Teachers,Book,6,2,2.5
105,106,Filtrations on the Homology of Algebraic Varieties (Memoirs of the American Mathematical Society  529),Book,1,0,0.0
106,107,Mothers and Daughters,Book,5,2,4.0
107,108,General Ophthalmology,Book,4,1,4.0
108,109,Baby Basics : A Guide for New Parents,Book,6,5,5.0
109,110,Casanova in Bohemia : A Novel,Book,3,10,4.0
110,111,The Maine Coon Cat (Learning About Cats),Book,2,0,0.0
111,112,Official Microsoft Image Composer Book,Book,4,1,5.0
112,113,Jesus: A Life,Book,0,0,0.0
113,114,Bowl Like a Pro,Book,2,3,2.5
114,115,Growing Millionaire Kids,Book,4,4,5.0
115,116,The Life of Benjamin West,Book,2,0,0.0
116,117,Site Unseen : An Emma Fielding Mystery (Emma Fielding Mysteries),Book,3,6,4.5
117,118,The Magic School Bus At The Waterworks : (autobus Magico Viaja Por...) (Magic School Bus),Book,8,1,5.0
118,119,Black Friday (Soul Survivor Series  Bk. 4),Book,4,1,5.0
119,120,Capital : A Critique of Political Economy (Penguin Classics),Book,3,40,4.0
120,121,Ten Black Dots,Book,4,1,5.0
121,122,Cocktail Hour: Lena Horne,Music,3,0,0.0
122,123,You Can Name 100 Dinosaurs!,Book,2,2,5.0
123,124,Dink the Little Dinosaur: Shyler's Friend,Video,8,2,4.5
124,125,Adobe® InDesign¿ Bible,Book,4,5,3.0
125,126,Houghton Mifflin Mathematics: Practice Activity Level 7,Book,3,0,0.0
126,127,Ballroom Dancing,Book,4,5,5.0
127,128,Irish Stew!,Book,4,5,4.0
128,129,Cpt 2003: Current Procedural Terminology (Cpt / Current Procedural Terminology (Standard Edition)),Book,7,2,3.5
129,130,The O'Reilly Factor: The Good  the Bad  and the Completely Ridiculous in American Life,Book,4,375,3.5
130,131,The 2R Manager: When to Relate  When to Require  and How to Do Both Effectively,Book,8,3,5.0
131,132,Iyanla Live! : Back to Basics (Iyanla Live!),Book,10,1,5.0
132,133,Bloomfield Blues,Music,5,1,4.0
133,134,Growing Teen Disciples: Strategies for Really Effective Youth Ministry,Book,1,1,5.0
134,135,Wondrous Contrivances : Technology at the Threshold,Book,3,1,5.0
135,136,Understanding Islam: An Introduction to the Muslim World  Third Revised and Updated Edition,Book,1,14,3.5
136,137,Apples of Gold: A Six-Week Nurturing Program for Women,Book,4,4,5.0
137,138,The McClurkin Project,Music,2,10,4.0
138,139,The Sacred Impulse,Book,3,1,3.0
139,140,Power & Greed: A Short History of the World,Book,2,5,3.5
140,141,Coach K: Building the Duke Dynasty : Building the Duke Dynasty,Book,5,10,2.0
141,142,Chemical Chaos (Horrible Science),Book,2,3,4.5
142,143,Ghosts from the Coast,Book,6,2,3.5
143,144,The Paradox of Change: American Women in the 20th Century,Book,2,0,0.0
144,145,The Bases of Chemical Thermodynamics: Volume 1,Book,5,2,5.0
145,146,More Prime Time Activities With Kids,Book,4,1,4.0
146,147,The New Jewish Wedding  Revised,Book,4,18,4.5
147,148,Firebird,Book,3,42,4.0
148,149,Pot O' Gold/Made for Each Other,DVD,20,0,0.0
149,150,Vocabulary Builder: French : Mastering the Most Common French Words and Phrases (Vocabulary Builder Series),Book,4,0,0.0
150,151,Laurel & Hardy - Flying Deuces/Utopia,DVD,16,13,3.0
151,152,NASA  Pt. 1 & 2,DVD,10,0,0.0
152,153,Life of Jesus  Vol. 1-2,DVD,12,8,4.0
153,154,Vanished,Book,1,22,4.0
154,155,Cowboy Mentality & the Big One That Got Away,Book,4,0,0.0
155,156,Parrot Heads in Paradise,Video,3,3,3.5
156,157,What about Spiritual Warfare?,Book,4,1,5.0
157,158,John Wayne 2 Pack (The Man from Utah / The Star Packer / Sagebrush Trail / Riders of Destiny),DVD,17,4,3.0
158,159,The Icicle Forest (Fairy School),Book,4,0,0.0
159,160,The Twisted Root (William Monk Novels (Paperback)),Book,7,23,4.0
160,161,Foliage Plant Diseases: Diagnosis & Control,Book,4,1,5.0
161,162,Wildlife the Nature Paintings of Carl Brenders,Book,2,6,5.0
162,163,Messages to Our Family,Book,3,2,3.0
163,164,What's Really Wrong With You: A Revolutionary Look at How Muscles Affect Your Health,Book,5,12,3.5
164,165,Passage of Darkness: The Ethnobiology of the Haitian Zombie,Book,3,4,4.5
165,166,In the Arms of Africa: The Life of Colin Turnbull,Book,6,13,4.0
166,167,Total Immersion,Book,2,4,3.5
167,168,Peterson's Toefl Word Flash: The Quick Way to Build Vocabulary Power (Toefl Flash Series),Book,2,1,4.0
168,169,Clamp School Detectives  Vol. 1: Eps 1-4,Video,3,3,4.0
169,170,Lafayette,Book,4,8,5.0
170,171,Anti-Semitism: From Its European Roots to the Holocaust (Interlink Illustrated History Series),Book,3,0,0.0
171,172,Cherokee Bat and the Goat Guys (Weetzie Bat),Book,3,14,4.5
172,173,Current Diagnosis & Treatment in Infectious Diseases,Book,6,2,4.0
173,174,Science and Poetry,Book,3,2,4.5
174,175,Assessment and Prediction of Speech Quality in Telecommunications,Book,2,0,0.0
175,176,Avengers '67 - Set 1  Vols. 1 & 2,DVD,18,15,5.0
176,177,Cracked Sidewalks and French Pastry: The Wit and Wisdom of Al McGuire,Book,5,8,4.5
177,178,They Walked With Jesus: Past Life Experience With Christ,Book,1,5,5.0
178,179,Africa Screams/Jack & The Bean,DVD,21,13,3.5
179,180,Barney: Sing and Dance with Barney,Video,2,1,5.0
180,181,Legacy: The Search for Ancient Cultures,Book,1,1,4.0
181,182,W.C. Fields  Vol. 1 & 2,DVD,14,15,1.5
182,183,Funny Teddy Bear Stickers (Dover Little Activity Books),Book,1,0,0.0
183,184,Physicians of the Soul: The Psychologies of the World's Greatest Spiritual Leaders,Book,4,0,0.0
184,185,The Rise of the Creative Class: And How It's Transforming Work  Leisure  Community and Everyday Life,Book,4,45,3.5
185,186,Too Loud  Too Bright  Too Fast  Too Tight:  What to Do If You Are Sensory Defensive in an Overstimulating World,Book,2,8,4.5
186,187,Words for Smart Test Takers (Academic Test Preparation Series),Book,5,4,5.0
187,188,The Politics and Practice of United Nations Peacekeeping: Past  Present and Future,Book,0,0,0.0
188,189,The New Art History: A Critical Introduction,Book,3,0,0.0
189,190,Bob Dylan - MTV Unplugged,Video,5,19,4.0
190,191,Dolphin Talk: An Animal Communicator Shares Her Connection,Book,5,1,5.0
191,192,Evidence-based Health Promotion,Book,6,0,0.0
192,193,How to Be Good,Book,3,261,3.0
193,194,Viva La Monkeysuit,Book,0,0,0.0
194,195,Sixteen Scandals: 20 Years of Sex  Lies and Other Habits of Our Great Leaders,Book,8,5,4.0
195,196,Modeling With Nlp,Book,0,0,0.0
196,197,Health & Safety (Fresh & Fun),Book,5,0,0.0
197,198,Imitation of Christ,Book,2,39,4.5
198,199,My Life with the Chimpanzees,Book,6,8,4.5
199,200,U.S. Immigration Made Easy (8th Edition),Book,4,9,4.0
200,201,Bareback: A Tomato Project,Book,2,2,4.0
201,202,The Go Go Dogs,Book,9,2,4.5
202,203,Crush Price Objections,Book,4,0,0.0
203,204,Mathematics Education and Language : Interpreting Hermeneutics and Post-Structuralism (Mathematics Education Library),Book,7,0,0.0
204,205,Nights And Days (Noce i Dnie),Video,2,0,0.0
205,206,What to Say When You Talk to Yourself About Selling,Book,2,1,5.0
206,207,MCSE SQL 2000 Administration Exam Cram (Exam: 70-228),Book,9,13,3.0
207,208,"What's on Your Mind (Pure Energy) [Tommy Boy CD5/12"")",Music,2,4,5.0
208,209,MOST GREATLY LIVED,Book,1,8,5.0
209,210,Farewell  Nikola,Book,1,0,0.0
210,211,DC Talk: Free at Last - The Movie,DVD,8,6,5.0
211,212,Fiber-Optic Communication Systems,Book,5,9,3.0
212,213,Running,Music,2,2,3.5
213,214,Robert Mapplethorpe: Autoportrait:,Book,8,1,4.0
214,215,China Run : A Novel,Book,2,21,4.0
215,216,The Tambopata-Candamo-Rio Heath Region of Southeastern Peru : A Biological Assessment (Conservation International Rapid Assessment Program),Book,2,0,0.0
216,217,Desert Flower,Book,3,0,0.0
217,218,The Justification of Johann Gutenberg: A Novel,Book,1,5,3.5
218,219,Fantasy Origami,Book,2,0,0.0
219,220,Love Must Be Tough,Book,5,30,4.5
220,221,Herman Melville's Billy Budd  Benito Cereno  and Bartleby the Scrivener (Bloom's Reviews Comprehensive Research and Study Guides),Book,6,0,0.0
221,222,The World's Easiest Guide to Using the MLA : A User-Friendly Manual for Formatting Research Papers According to the Modern Language Association Style Guide,Book,2,2,3.0
222,223,Risky Rivers: The Economics and Politics of Floodplain Farming in Amazonia (Arizona Studies in Human Ecology),Book,1,0,0.0
223,224,Junebug and the Reverend,Book,7,1,5.0
224,225,First Indian on the Moon,Book,3,5,5.0
225,226,Presentimientos,Book,2,0,0.0
226,227,Lush Mechanique,Music,4,4,5.0
227,228,Hollywood Agents & Managers Directory (Hollywood Representation Directory),Book,3,1,5.0
228,229,Bob Newhart - Button Down Concert - Off the Record,Video,3,1,5.0
229,230,Half Slave and Half Free : The Roots of Civil War (American Century Series),Book,1,2,4.0
230,231,George Morgan - 14 Greatest Hits,Music,2,3,4.0
231,232,Review of Veterinary Physiology (The Quick Look Series in Veterinary Medicine),Book,2,2,4.0
232,233,Steelhead Dreams: The Theory  Method  Science and Madness of Great Lakes Steelhead Fly Fishing,Book,3,4,4.5
233,234,Adults Only,Music,35,3,3.5
234,235,Dream Theater: Falling into Infinity (Authentic Guitar-Tab),Book,3,3,4.5
235,236,In Flight [Bonus Tracks],Music,1,0,0.0
236,237,Introduction to General Relativity,Book,2,0,0.0
237,238,Process Optimization in Home Healthcare,Book,8,0,0.0
238,239,Johnny Bush - 14 Greatest Hits,Music,2,7,5.0
239,240,Clathrate Hydrates of Natural Gases (Chemical Industries),Book,3,1,5.0
240,241,Unsettling America : An Anthology of Contemporary Multicultural Poetry,Book,5,5,5.0
241,242,Wire Fox Terrier: A Complete and Reliable Handbook (Rx-100),Book,2,4,4.5
242,243,The Heart Hospital: A Reality of the Future,Book,0,0,0.0
243,244,Phonics Pathways,Book,5,22,4.5
244,245,F-105 Thunderchiefs: A 29-Year Illustrated Operational History  With Individual Accounts of the 103 Surviving Fighter Bombers,Book,3,2,3.5
245,246,One More Night,Music,5,5,5.0
246,247,The Color of Light: Commissioning Stained Glass for a Church,Book,5,0,0.0
247,248,Starlight (Starlight (Tor Paperback)),Book,3,4,4.0
248,249,Homeschooling for Excellence,Book,2,17,4.0
249,250,52 Fun Things to Do on the Plane (52 Series),Book,3,13,4.0
250,251,The Glass Menagerie,Video,8,8,5.0
251,252,The Köln Concert,Music,6,82,4.5
252,253,Celtic Glory,Music,7,3,4.0
253,254,Electra Glide in Blue,Video,7,20,4.0
254,255,Hitty : Her First Hundred Years,Book,2,27,4.0
255,256,Walk-Behind Lawn Mower: Service Manual (Walk-Behind Lawn Mower Service Manual  5th ed),Book,2,1,5.0
256,257,Bloomability,Book,5,167,4.5
257,258,Hosanna,Book,8,2,3.5
258,259,Global Public Goods: International Cooperation in the 21st Century,Book,13,2,5.0
259,260,I'm A Little Puppy: Finger-Puppet Pal  A,Book,4,1,5.0
260,261,The Harvard Design School Guide to Shopping / Harvard Design School Project on the City 2,Book,6,7,3.5
261,262,Wetland,Book,4,0,0.0
262,263,Practical Survival Tips  Tricks  & Skills,Book,3,3,4.5
263,264,How to Get Filthy  Stinking Rich and Still Have Time for Great Sex! :  An Entrepreneur's Guide to Wealth and Happiness,Book,8,23,3.5
264,265,Earth Power: Techniques of Natural Magic (Llewellyn's Practical Magick),Book,6,47,4.5
265,266,Antique Golf Collectibles: A Price and Reference Guide (Antique Golf Collectibles),Book,3,5,4.5
266,267,Unwinnable Wars: American Power and Ethnic Conflict,Book,4,2,3.5
267,268,Morris Goes to School (I Can Read Book 1),Book,5,8,5.0
268,269,Memoirs of General W.T. Sherman (Penguin Classics),Book,9,18,4.5
269,270,Greatest Hits,Music,0,0,0.0
270,271,Sams Teach Yourself Visual C++.NET in 21 Days (2nd Edition),Book,4,7,3.0
271,272,Acts of War: Behavior of Men in Battle,Book,3,5,3.0
272,273,The Ends of Performance,Book,3,0,0.0
273,274,Ernest Hemingway Audio Collection CD,Book,7,1,2.0
274,275,Activity Schedules for Children With Autism: Teaching Independent Behavior (Topics in Autism),Book,8,9,4.5
275,276,The Right to Vote: The Contested History of Democracy in the United States,Book,4,9,4.5
276,277,The Complete Idiot's Guide to 401(k) Plans (2nd Edition),Book,9,2,5.0
277,278,Medal Of Honor: Frontline : Prima's Official Strategy Guide,Book,8,3,4.0
278,279,The Unique Woman,Book,1,1,5.0
279,280,Clemson University (The College History Series),Book,1,1,4.0
280,281,Tropic of Cancer and Tropic of Capricorn: Boxed Set,Book,5,0,0.0
281,282,Son of the Mob (Son of the Mob (Hardcover)),Book,4,74,4.5
282,283,A Good Fight,Book,4,12,3.5
283,284,Brazil,Book,2,8,5.0
284,285,The Vegetarian Child,Book,3,4,3.5
285,286,Goodnight Sweetheart,Music,15,0,0.0
286,287,Going To God'S House (First Bible Collection),Book,3,2,5.0
287,288,Unnatural Causes,Book,3,10,3.5
288,289,Bad Boys Best 2001,Music,4,0,0.0
289,290,The Best of Famous Monsters of Filmland  Vol. #1,Book,2,5,3.5
290,291,The Java FAQ,Book,2,4,4.5
291,292,How To Incorporate and Start a Business in North Carolina,Book,9,0,0.0
292,293,Riddle,Music,2,1,5.0
293,294,No Limits,Music,0,0,0.0
294,295,Inventing Criminology: Essays on the Rise of Homo Criminalis (S U N Y Series in Deviance and Social Control),Book,2,0,0.0
295,296,The Da Vinci Code,Book,4,3049,3.5
296,297,The Rurouni Kenshin NB: 6,Book,4,1,3.0
297,298,Tower for the Summer Heat,Book,3,0,0.0
298,300,American Antiques and Collectibles: The Essential Visual Reference Source for the Collector,Book,4,0,0.0
299,301,Kaleidoscope (Doodle Art Super Tubes),Book,1,0,0.0
300,302,Slowing Down to the Speed of Life: How To Create A More Peaceful  Simpler Life From the Inside Out,Book,7,14,4.5
301,303,Singin' Some Soul,Music,6,2,5.0
302,304,The Vision,Book,5,5,5.0
303,305,The Medieval Vision: Essays in History and Perception,Book,1,1,3.0
304,306,Before Sunrise,Video,6,178,4.5
305,307,Manic-Depressive Illness,Book,6,16,5.0
306,308,Wing Chun Kung Fu,DVD,9,4,3.0
307,309,The Death of an Irish Politician (Peter McGarr Mysteries (Paperback)),Book,3,9,3.5
308,310,Biofiltration for Air Pollution Control,Book,3,2,5.0
309,311,Changing Urban Education (Studies in Government and Public Policy),Book,7,0,0.0
310,312,The Cat - Gogen Yamaguchi  10th Dan,DVD,9,5,3.0
311,313,Guri and Gura's Special Gift,Book,1,0,0.0
312,314,Diversity: The Invention of A Concept,Book,4,10,5.0
313,315,Manual de outsourcing,Book,5,0,0.0
314,316,Resurrection and Moral Order: An Outline for Evangelical Ethics,Book,1,1,4.0
315,317,Assessment of Writing: Politics  Policies  Practices (Research and Scholarship in Composition 4),Book,2,0,0.0
316,318,Roadside (2001 Off-Broadway Cast),Music,6,2,5.0
317,319,Take Me Out to the Ballpark: A Baseball Watcher's Guide to the Game,Book,0,0,0.0
318,320,Cowboy,Music,21,51,4.5
319,321,Intimate Worlds,Book,4,2,5.0
320,322,What Happens After I Die?: Jewish Views of Life After Death,Book,1,3,4.5
321,323,ActionScripting in Flash,Book,6,19,4.5
322,324,Libre,Music,2,22,4.5
323,325,Standards : Trumpet Transcriptions With Piano Score,Book,2,1,5.0
324,326,Up The Agency : The Funny Business Of Advertising,Book,3,4,4.0
325,327,Star Power for Preschoolers: Learning Life Skills Through Physical Play,Book,3,1,5.0
326,328,Do It Yourself! Credit Repair (E-Z Legal Guide),Book,5,3,4.0
327,329,James Joyce (Penguin Lives (Audio)),Book,10,14,4.5
328,330,Logan's Search (Logan Series  3rd Book),Book,2,1,4.0
329,331,Practical Skywatching (Nature Companion Series),Book,1,4,5.0
330,332,Absolute Beginner's Guide to Computers and the Internet,Book,4,0,0.0
331,333,Steven Soderbergh: Interviews (Conversations With Filmmakers Series),Book,4,1,3.0
332,334,Cathedral (Star Trek Deep Space Nine: Mission Gamma  Book 3),Book,4,16,4.0
333,335,Getting Ready for Marriage Workbook : How to Really Get to Know the Person You're Going to Marry,Book,5,14,4.5
334,336,Beyond the Twin Deficits: A Trade Strategy for the 1990s,Book,3,0,0.0
335,337,The Face of the River,Book,2,3,5.0
336,338,Ordinary Mary's Extraordinary Deed,Book,4,0,0.0
337,339,The Crossbow Murder,Book,1,0,0.0
338,340,When I Grow Up I Want To Be Me,Book,4,1,5.0
339,341,Liszt (Master Musicians Series),Book,6,1,5.0
340,342,Clinical Reflexology: A Guide for Health Professionals,Book,5,0,0.0
341,343,Women's Health: A Primary Care Clinical Guide  Third Edition,Book,4,1,5.0
342,344,Term Sheets & Valuations - A Line by Line Look at the Intricacies of Venture Capital Term Sheets & Valuations (Bigwig Briefs),Book,6,12,5.0
343,345,Sensible Cruising: The Thoreau Approach,Book,3,5,5.0
344,346,Corrections in America: An Introduction (9th Edition),Book,8,3,5.0
345,347,UNIX Network Programming  Volume 2: Interprocess Communications (2nd Edition),Book,9,10,4.5
346,348,Presentation of Evidence to Juries (Readings in Trial Advocacy and the Social Sciences  Vol 3),Book,1,0,0.0
347,349,Perceval,DVD,9,7,4.0
348,350,Complete Idiot's Guide to Linux,Book,4,29,4.0
349,351,Digital Multimedia (Worldwide Series in Computer Science),Book,6,3,5.0
350,352,Twenty-Five Lessons in Citizenship: 1997-1998 (99th Edition),Book,2,4,4.5
351,353,Motown Party,Music,4,2,5.0
352,354,Marriage: Dead or Alive,Book,4,0,0.0
353,355,Clarissa and the Countryman Sally Forth,Book,2,1,5.0
354,357,Higher Ground,Music,6,0,0.0
355,359,The Cistercian World : Monastic Writings of the Twelfth Century (Penguin Classics),Book,1,2,4.5
356,360,Warfare in Ancient Greece: A Sourcebook,Book,3,2,4.5
357,361,Remedios caseros para proteger su salud,Book,2,0,0.0
358,362,Best of Smooth Jazz,Music,11,6,5.0
359,363,Danzig II: Lucifuge,Music,3,22,5.0
360,364,Undisputed Attitude,Music,2,29,4.0
361,365,What's Your Name,Music,4,39,4.0
362,366,Danzig III: How the Gods Kill,Music,3,10,4.5
363,367,Insight Pocket Guide New Orleans (Insight Pocket Guides),Book,6,20,4.5
364,368,Thirty Lessons in Outlining: Level 1,Book,3,0,0.0
365,369,The Book of Secrets,Music,8,416,5.0
366,370,Fresh Meat,Music,2,3,4.0
367,371,The Book of Secrets,Music,8,416,5.0
368,372,Cost Accounting for Health Care Organizations: Concepts and Applications,Book,3,3,5.0
369,373,I Couldn't Hear Nobody Pray,Music,8,5,4.0
370,374,Application of Chaos Theory to Psychological Models,Book,1,7,3.5
371,375,Another Time Another Place,Music,15,4,4.5
372,376,The Dance,Music,2,145,4.5
373,377,Live at the BBC,Music,5,9,4.5
374,378,Accounting Procedures: The Recording Process-A Preparer's Perspective,Book,5,0,0.0
375,379,Evita: Music From The Motion Picture,Music,7,132,4.5
376,380,Systematic Design of CMOS Switched-Current Bandpass Sigma-Delta Modulators for Digital Communication Chips,Book,4,0,0.0
377,381,Time and the Verb: A Guide to Tense and Aspect,Book,3,0,0.0
378,382,Telecommunications Pocket Reference,Book,0,0,0.0
379,383,Blue,Book,4,20,4.0
380,384,100 Happy Naked New Yorkers,Book,4,3,3.5
381,385,Design and Analysis of Ecological Experiments,Book,7,0,0.0
382,386,Live At Gilley's,Music,13,0,0.0
383,387,Jewish History in 100 Nutshells,Book,2,1,5.0
384,388,Garden Fun: Indoors & Out  in Pots & Small Spots (Quick Starts for Kids!),Book,2,0,0.0
385,389,Religion and Culture in Ancient Israel,Book,3,1,2.0
386,390,The FOOD BIBLE,Book,2,11,4.5
387,391,National Geographic's Land of the Anaconda,Video,11,1,5.0
388,392,Xeriscape Handbook: A How-To Guide to Natural  Resource-Wise Gardening,Book,3,1,5.0
389,393,Montana Atlas & Gazetteer (Montana Atlas & Gazetteer),Book,6,2,3.0
